pl_name,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_met,pl_eqt,origin
HD 181234 b,7504.0,7.43,0.792,,2892.2385037,5372.83,1.059423,0.97304,0.3773,,Exoplanet
HD 181234 b,7593.40512,7.427,0.726,,2980.91262925,,,0.94,,,Exoplanet
HD 181234 b,7462.0575,7.52,0.73,,2660.2371,5386.0,1.05,1.01,0.32,,Exoplanet
HD 181342 b,564.1,1.592,0.022,,807.2882,4945.0,4.71,1.69,,,Exoplanet
HD 181342 b,663.0,1.78,0.177,,1048.79,5014.0,4.6,1.84,0.26,,Exoplanet
HD 181342 b,663.0,1.78,0.18,,1204.5757,5005.0,5.09,2.25,0.21,,Exoplanet
HD 181342 b,562.1,1.65,0.1,,921.707,5040.0,5.12,1.89,0.2,,Exoplanet
HD 18143 b,10.2851,0.088,0.224,,10.80616584,,,0.85,,,Exoplanet
HD 18143 c,28982.41764,17.53,0.194,,3177.64841319,,,0.85,,,Exoplanet
HD 181433 b,9.3743,0.08,0.396,,7.5,4962.0,,0.78,0.33,,Exoplanet
HD 181433 b,9.3745,0.0801,0.336,,7.08757348,4962.0,,0.78,0.33,,Exoplanet
HD 181433 b,9.3743,0.08,0.4,,6.3566,4918.0,0.79,0.63,0.38,,Exoplanet
HD 181433 b,9.37459,0.08013,0.3884,,7.42102,4929.63,0.810841,0.81,0.4012,,Exoplanet
HD 181433 c,1014.5,1.819,0.235,,214.21634632,4962.0,,0.78,0.33,,Exoplanet
HD 181433 c,975.41,1.7731,0.26912,,207.47704,4929.63,0.810841,0.81,0.4012,,Exoplanet
HD 181433 c,962.0,1.76,0.28,,203.0,4962.0,,0.78,0.33,,Exoplanet
HD 181433 d,2468.46,3.29347,0.46626,,166.89822,4929.63,0.810841,0.81,0.4012,,Exoplanet
HD 181433 d,7012.0,6.6,0.469,,194.51098508,4962.0,,0.78,0.33,,Exoplanet
HD 181433 d,2172.0,3.0,0.48,,171.0,4962.0,,0.78,0.33,,Exoplanet
HD 181720 b,956.0,1.85,0.26,,127.132,5736.0,1.5,1.03,-0.62,,Exoplanet
HD 181720 b,956.0,1.78,0.26,,117.59,5781.0,1.39,0.92,-0.53,,Exoplanet
HD 183263 b,626.51599,1.49,0.36,,1255.4285,5948.0,1.23,1.31,0.29,,Exoplanet
HD 183263 b,634.23,1.52,0.38,,1172.74,5936.0,,1.17,0.3,,Exoplanet
HD 183263 b,625.1,1.486,0.3728,,1155.263,5867.0,1.29106,1.06,0.27,,Exoplanet
HD 183263 b,635.4,1.525,0.363,,1214.1,5867.0,1.29106,1.06,0.27,,Exoplanet
HD 183263 b,624.87404,1.46,0.383,,1103.1824007,,,1.06,,,Exoplanet
HD 183263 b,626.5,1.51,0.3567,,1166.39,5867.0,1.29106,1.06,0.27,,Exoplanet
HD 183263 b,625.09,1.508,0.3786,,1177.23641953,5875.99,1.293337,1.170583,0.2776,,Exoplanet
HD 183263 c,5048.0,,0.073,,2860.47,,,1.121,,,Exoplanet
HD 183263 c,5010.0,6.037,0.0595,,2529.91411972,5875.99,1.293337,1.170583,0.2776,,Exoplanet
HD 183263 c,4684.0,5.69,0.051,,2192.93,5867.0,1.29106,1.06,0.27,,Exoplanet
HD 183263 c,3070.0,4.35,0.239,,1134.61,5867.0,1.29106,1.06,0.27,,Exoplanet
HD 183263 c,4667.97841,5.585,0.051,,2958.98246917,,,1.06,,,Exoplanet
HD 183579 b,17.471291,0.1322,0.061,3.49,20.4,5784.0,0.96,0.996,-0.038,752.0,Exoplanet
HD 183579 b,17.471275,0.13,0.0,3.53,11.2,5706.0,0.974,1.034,-0.07,748.0,Exoplanet
HD 183579 b,17.471278,0.1334,0.28,3.55,19.7,5788.0,0.985,1.031,-0.023,769.0,Exoplanet
HD 183579 b,17.47130782378,,,3.57668278,,5783.54,0.974669,,,689.36,Exoplanet
HD 184010 b,286.6,0.94,0.0,,98.52680617,4971.0,4.86,1.35,-0.17,,Exoplanet
HD 184010 c,484.3,1.334,0.0,,95.3485221,4971.0,4.86,1.35,-0.17,,Exoplanet
HD 184010 d,836.4,1.92,0.0,,143.02278315,4971.0,4.86,1.35,-0.17,,Exoplanet
HD 18438 b,803.0,2.1,0.1,,6674.396547,3860.0,88.475,1.84,-0.4,,Exoplanet
HD 185269 b,6.83776,0.077,0.229,,321.0083,5923.0,2.0,1.3,,,Exoplanet
HD 185269 b,6.83785,0.08,0.3,,346.4347,6048.0,2.0,1.57,0.13,,Exoplanet
HD 185269 b,6.838,0.077,0.3,,298.75,5980.0,1.88,1.28,0.11,,Exoplanet
HD 185269 b,6.8399,0.077,0.225,,327.35,5983.0,,1.33,0.1,,Exoplanet
HD 185283 b,4060.0,4.6,0.07,,413.1769291,,,0.8,,,Exoplanet
HD 18599 b,4.1374354,0.048,0.34,2.6,24.1,5145.0,0.767,0.863,0.0,,Exoplanet
HD 18599 b,4.137437,0.05,0.2,2.7,25.5,5083.0,0.798,0.807,-0.05,863.0,Exoplanet
HD 18599 b,4.13743791667,,,2.67576585,,5058.0,0.802633,,,918.68,Exoplanet
HD 187085 b,986.0,2.05,0.47,,238.36,6075.0,,1.22,0.05,,Exoplanet
HD 187085 b,1019.74,2.1,0.251,,265.70588,6117.0,1.27,1.189,0.12,,Exoplanet
HD 187123 b,3.0965886,0.04213,0.0093,,161.2601,5790.0,1.15043,1.04,0.09,,Exoplanet
HD 187123 b,3.0965828,0.0426,0.0103,,166.218,5790.0,1.15043,1.04,0.09,,Exoplanet
HD 187123 b,3.0966,0.042,0.0,,165.26,,,,,,Exoplanet
HD 187123 b,3.0966,,0.01,,152.55,5790.0,1.15043,1.04,0.09,,Exoplanet
HD 187123 b,3.097,0.042,0.03,,165.26,5830.0,,1.0,0.16,,Exoplanet
HD 187123 b,3.0965971,0.04186,0.004,,159.23203191,5765.94,1.154992,1.020234,0.1065,,Exoplanet
HD 187123 c,3324.0,4.417,0.28,,577.791,5790.0,1.15043,1.04,0.09,,Exoplanet
HD 187123 c,3374.0,4.432,0.227,,544.44006119,5765.94,1.154992,1.020234,0.1065,,Exoplanet
HD 187123 c,3380.0,,0.295,,572.094,,,1.037,,,Exoplanet
HD 187123 c,3810.0,4.89,0.252,,632.46,5790.0,1.15043,1.04,0.09,,Exoplanet
HD 18742 b,772.0,1.92,0.12,,858.1,5048.0,4.9,1.6,-0.04,,Exoplanet
HD 18742 b,766.0,1.82,0.04,,1080.622,4940.0,5.13,1.36,,,Exoplanet
HD 18742 b,772.0,1.98,0.12,,1185.5059,5021.0,5.88,2.58,-0.14,,Exoplanet
HD 188015 b,462.59,1.187,0.17,,462.12250378,5649.5,1.125296,1.042676,0.2534,,Exoplanet
HD 188015 b,461.2,1.203,0.137,,476.72,5746.0,,1.09,0.289,,Exoplanet
HD 188015 b,456.46,1.19,0.15,,400.45,5745.0,,1.08,0.29,,Exoplanet
HD 188641 b,14583.81038,12.027,0.034,,9333.03117155,,,1.07,,,Exoplanet
HD 189567 b,14.288,0.111,0.189,,8.5,5726.0,,0.83,-0.24,,Exoplanet
HD 189567 c,33.688,0.197,0.16,,7.0,5726.0,,0.83,-0.24,,Exoplanet
HD 189733 b,2.2185752,,,,,5023.0,0.776484,0.84,0.02,,Exoplanet
HD 189733 b,2.21857480391,,,13.3010355,,5023.0,0.776484,,,1101.7,Exoplanet
HD 189733 b,,,,13.63,369.303,4875.0,0.805,0.846,-0.03,,Exoplanet
HD 189733 b,2.218575143,,,,,,,,,,Exoplanet
HD 189733 b,2.21857578,0.03142,,12.901559,365.5045,5050.0,0.752,0.84,-0.03,1191.0,Exoplanet
HD 189733 b,2.218574944,,,,,5040.0,0.756,0.806,-0.03,,Exoplanet
HD 189733 b,2.218573,0.03099,,12.756,363.582,5040.0,0.756,0.806,-0.03,1201.0,Exoplanet
HD 189733 b,2.21857567,,0.0,,,4875.0,0.805,,,,Exoplanet
HD 189733 b,2.21857567,,0.0,12.66617,359.1479,5052.0,0.75,0.79,-0.02,,Exoplanet
HD 189733 b,2.218577,0.03106,,12.542871,370.58978,5050.0,0.765,0.812,-0.03,1209.0,Exoplanet
HD 189733 b,2.21857519,,,,,5040.0,0.756,0.806,-0.03,,Exoplanet
HD 189733 b,2.219,0.0313,0.0,14.12,365.49,5050.0,0.76,0.82,-0.03,,Exoplanet
HD 189733 b,2.218555,0.03126,0.027,,369.63443734,5012.5,0.782719,0.827851,0.0408,,Exoplanet
HD 189733 b,2.2185752,0.031,0.0039,12.755842,356.92309,5040.0,0.756,0.806,-0.03,,Exoplanet
HD 189733 b,2.22,,,12.77826,362.3262,5023.0,0.776484,0.84,0.02,1200.0,Exoplanet
HD 189733 b,2.21857567,,,,,,,,,,Exoplanet
HD 189733 b,2.218,0.031,0.028,,371.85923619,,,0.84,,,Exoplanet
HD 189733 b,2.2,0.031,0.0,12.3,349.6,,,,,1200.0,Exoplanet
HD 189733 b,,,,,,5023.0,0.776484,0.84,0.02,1201.0,Exoplanet
HD 189733 b,2.218573,0.0312,,,,,0.766,,,,Exoplanet
HD 189733 b,,,,,,5023.0,0.776484,0.84,0.02,,Exoplanet
HD 190007 b,11.72,0.092,0.14,,16.46,4610.0,0.79,0.77,0.16,,Exoplanet
HD 190007 b,11.724128,,0.136,,15.5,4610.0,,0.77,0.16,,Exoplanet
HD 190228 b,1146.6,2.293,0.547,,1938.7532827,5360.0,,1.22,-0.24,,Exoplanet
HD 190228 b,1143.59858,2.406,0.559,,1598.67688721,,,1.415,,,Exoplanet
HD 190360 b,2854.0,3.9,0.34,,572.0911326,,,1.0,,150.0,Exoplanet
HD 190360 b,2867.9,,0.343,,475.16,5549.0,1.16804,0.98,0.19,,Exoplanet
HD 190360 b,2915.03687,3.97,0.31,,489.4582,5552.0,1.14,0.99,0.24,,Exoplanet
HD 190360 b,2891.0,3.92,0.36,,477.361,5551.0,,0.96,0.21,,Exoplanet
HD 190360 b,2889.0,,0.301,,460.8535,,,0.983,,,Exoplanet
HD 190360 b,2915.0,4.01,0.313,,495.79,5549.0,1.16804,0.98,0.19,,Exoplanet
HD 190360 b,3902.0,4.8,0.48,,422.7,5590.0,1.13,0.96,0.25,,Exoplanet
HD 190360 b,2892.2,3.955,0.3274,,474.19998324,5537.68,1.165616,0.986343,0.2297,,Exoplanet
HD 190360 c,17.11704,0.1294,0.165,,21.45341747,5537.68,1.165616,0.986343,0.2297,,Exoplanet
HD 190360 c,17.1186,,0.107,,20.28,5549.0,1.16804,0.98,0.19,,Exoplanet
HD 190360 c,17.111,0.1304,0.237,,19.069,5549.0,1.16804,0.98,0.19,,Exoplanet
HD 190360 c,17.1,0.128,0.01,,18.116,5551.0,,0.96,0.21,,Exoplanet
HD 190647 b,1038.1,2.07,0.18,,603.85,5628.0,,1.1,-0.24,,Exoplanet
HD 190647 b,1038.09998,2.07,0.18,,616.5902,5640.0,1.45,1.14,0.22,,Exoplanet
HD 190647 b,1176.45,2.231,0.224,,630.89255,5656.0,1.376,1.069,0.23,,Exoplanet
HD 190984 b,4885.0,5.5,0.57,,985.2,5988.0,1.53,0.91,-0.48,,Exoplanet
HD 190984 b,9970.0,8.8,0.745,,1137.82569706,5988.0,,0.91,-0.48,,Exoplanet
HD 191806 b,1603.38923,2.749,0.213,,2966.61035094,,,1.07,,,Exoplanet
HD 191806 b,1606.3,2.8,0.259,,2707.9116,6010.0,,1.14,0.3,,Exoplanet
HD 191806 b,1604.0,2.81,0.213,,3219.60176291,6010.0,,1.14,0.3,,Exoplanet
HD 191939 b,8.8803247,,,3.19902,,5555.7,0.92,,,835.0,Exoplanet
HD 191939 b,8.880403,0.0814,,3.42,,5427.0,0.945,0.92,-0.16,812.0,Exoplanet
HD 191939 b,8.8803232,0.079,0.0,3.39512346,9.6,5385.0,0.934,0.8222,-0.138,818.69,Exoplanet
HD 191939 b,8.88029,0.078,0.0,3.39,10.4,5348.0,0.94,0.81,-0.15,893.0,Exoplanet
HD 191939 b,8.8803256,0.0804,0.031,3.41,10.0,5348.0,0.94,0.81,-0.15,880.0,Exoplanet
HD 191939 b,8.880318,,,,,5427.0,0.945,0.92,-0.16,,Exoplanet
HD 191939 b,8.88032,0.078,,,9.66,5348.0,0.94,0.81,-0.15,,Exoplanet
HD 191939 c,28.57968,,,,,5427.0,0.945,0.92,-0.16,,Exoplanet
HD 191939 c,28.579889,0.171,0.0,3.1823776,6.1,5385.0,0.934,0.8222,-0.138,554.51,Exoplanet
HD 191939 c,28.5804571,,,2.55979,,5555.7,0.92,,,527.0,Exoplanet
HD 191939 c,28.5805,0.17,,,7.55,5348.0,0.94,0.81,-0.15,,Exoplanet
HD 191939 c,28.58059,0.1762,,3.23,,5427.0,0.945,0.92,-0.16,552.0,Exoplanet
HD 191939 c,28.5805,0.17,0.0,3.08,7.2,5348.0,0.94,0.81,-0.15,605.0,Exoplanet
HD 191939 c,28.579743,0.1752,0.034,3.195,8.0,5348.0,0.94,0.81,-0.15,600.0,Exoplanet
HD 191939 d,38.352562,0.209,0.0,3.1168896,2.2,5385.0,0.934,0.8222,-0.138,502.73,Exoplanet
HD 191939 d,38.3524,0.21,,,2.8,5348.0,0.94,0.81,-0.15,,Exoplanet
HD 191939 d,38.353037,0.2132,0.031,2.995,2.8,5348.0,0.94,0.81,-0.15,540.0,Exoplanet
HD 191939 d,38.3525,0.207,0.0,3.04,5.8,5348.0,0.94,0.81,-0.15,549.0,Exoplanet
HD 191939 d,38.3561,0.215,,3.16,,5427.0,0.945,0.92,-0.16,499.0,Exoplanet
HD 191939 d,38.3513495,,,2.6167,,5555.7,0.92,,,625.0,Exoplanet
HD 191939 e,101.5,0.397,0.0,,108.0,5348.0,0.94,0.81,-0.15,397.0,Exoplanet
HD 191939 e,101.723,0.4,0.0,,116.0,5385.0,0.934,0.8222,-0.138,,Exoplanet
HD 191939 e,101.7,0.4,,,114.1,5348.0,0.94,0.81,-0.15,,Exoplanet
HD 191939 e,101.12,0.407,0.031,,112.2,5348.0,0.94,0.81,-0.15,390.0,Exoplanet
HD 191939 f,2200.0,3.2,,,660.0,5348.0,0.94,0.81,-0.15,125.0,Exoplanet
HD 191939 f,2898.0,3.71,,,915.34581216,5348.0,0.94,0.81,-0.15,,Exoplanet
HD 191939 f,4450.0,4.8,0.0,,2065.0,5348.0,0.94,0.81,-0.15,,Exoplanet
HD 191939 g,288.6,0.8,,,6.88,5348.0,0.94,0.81,-0.15,,Exoplanet
HD 191939 g,284.0,0.812,0.03,,13.5,5348.0,0.94,0.81,-0.15,278.0,Exoplanet
HD 192263 b,23.646,0.146,0.154,,200.23189641,,,0.74,,,Exoplanet
HD 192263 b,24.13,0.15,0.0,,232.01,,,,,,Exoplanet
HD 192263 b,24.4,0.15,0.22,,247.9,,,,,486.0,Exoplanet
HD 192263 b,24.348,0.15,0.0,,228.83,4995.0,,0.75,0.04,,Exoplanet
HD 192263 b,24.3587,0.15312,0.008,,232.96,4996.0,0.73,0.807,0.054,,Exoplanet
HD 192263 b,24.3556,0.1532,0.055,,203.72,4975.0,,0.81,0.054,,Exoplanet
HD 192263 b,24.3597,0.154,0.04,,209.13109181,4998.15,0.783641,0.820538,0.0476,,Exoplanet
HD 192263 b,24.3556,0.15,0.05,,177.9848,4976.0,0.74,0.66,0.03,,Exoplanet
HD 192310 b,74.72,0.32,0.13,,16.9,5166.0,,0.8,-0.04,355.0,Exoplanet
HD 192310 b,74.39,0.319,0.3,,21.6,5144.0,0.73,0.85,0.08,,Exoplanet
HD 192310 b,74.062,0.3262,0.14,,14.33406116,5181.11,0.857922,0.844324,0.0807,,Exoplanet
HD 192310 c,525.8,1.18,0.32,,24.0,5166.0,,0.8,-0.04,185.0,Exoplanet
HD 192699 b,351.5,1.16,0.149,,794.5,5220.0,3.9,1.68,-0.15,,Exoplanet
HD 192699 b,345.53,1.15,0.129,,762.76,,,1.69,,,Exoplanet
HD 192699 b,345.53,1.12,0.13,,737.3656,5164.0,4.31,1.61,-0.25,,Exoplanet
HD 192699 b,340.94,1.063,0.082,,666.17168,5041.0,4.41,1.38,,,Exoplanet
HD 194490 b,13092.18348,11.116,0.251,,3561.90295725,,,1.06,,,Exoplanet
HD 195019 b,18.20132,0.1388,0.0138,,1172.7,5788.0,,1.07,0.068,,Exoplanet
HD 195019 b,18.201228,0.1376,0.0198,,1161.66282759,5746.62,1.555809,1.049075,0.05,,Exoplanet
HD 195019 b,18.2008,0.138,0.014,,1166.39,5842.0,,1.06,0.08,,Exoplanet
HD 195019 b,18.20132,0.14,0.01,,1264.9634,5751.0,1.48,1.21,0.05,,Exoplanet
HD 195019 b,18.20163,0.1388,0.014,,1175.92,5750.0,1.47866,1.03,0.04,,Exoplanet
HD 195019 b,18.2,0.13,0.02,,1102.82,5750.0,1.47866,1.03,0.04,,Exoplanet
HD 195019 b,18.27,,0.03,,1115.54,5600.0,,0.98,0.3,,Exoplanet
HD 196050 b,1378.0,2.51,0.23,,1010.6994,5879.0,1.42,1.31,0.21,,Exoplanet
HD 196050 b,1300.0,2.4,0.19,,889.924,5590.0,,1.13,0.3,,Exoplanet
HD 196050 b,1392.0,2.65,0.2,,1493.7935129,,,1.27,,,Exoplanet
HD 196050 b,1378.0,2.54,0.228,,921.67,,,,,,Exoplanet
HD 196050 b,1393.0,2.585,0.178,,1446.11925185,5892.0,,1.18,0.229,,Exoplanet
HD 196050 b,1321.0,2.43,0.3,,959.8466,5918.0,,1.1,0.22,,Exoplanet
HD 196067 b,3609.0,5.1,0.7,,3972.8550875,,,1.26,0.23,,Exoplanet
HD 196067 b,3638.0,5.02,0.66,,2192.9,6017.0,1.73,1.29,0.18,,Exoplanet
HD 19615 b,402.0,1.1,0.2,,2701.5414595,4263.0,32.3,1.1,-0.31,,Exoplanet
HD 196885 A b,1346.85,2.63,0.462,,940.74,6340.0,,1.33,0.29,,Exoplanet
HD 196885 A b,1325.8575,2.6,0.48,,947.1334,6172.0,1.43072,1.18,0.25,,Exoplanet
HD 196885 A b,1333.0,2.37,0.48,,819.97,6254.0,1.31,1.28,0.22,,Exoplanet
HD 197037 b,1035.7,2.07,0.22,,251.0,6150.0,,1.11,-0.2,,Exoplanet
HD 199509 b,99.62167,0.426,0.373,,43.22466335,,,1.04,,,Exoplanet
HD 19994 b,466.2,1.305,0.063,,435.41,6188.0,,1.365,0.27,,Exoplanet
HD 19994 b,535.7,1.42,0.3,,533.9544,6217.0,,1.34,0.25,,Exoplanet
HD 20003 b,11.8482,0.0974,0.36,,11.66,5494.0,,0.875,0.04,,Exoplanet
HD 20003 c,33.9239,0.1964,0.1,,14.44,5494.0,,0.875,0.04,,Exoplanet
HD 200964 b,606.3,1.565,0.087,,508.21017,4982.0,4.92,1.39,,,Exoplanet
HD 200964 b,613.8,1.601,0.04,,587.96,5164.0,4.3,1.44,-0.15,,Exoplanet
HD 200964 b,613.79999,1.64,0.04,,721.4741,5079.0,4.69,1.97,-0.17,,Exoplanet
HD 200964 c,825.0,1.95,0.181,,284.446,5164.0,4.3,1.44,-0.15,,Exoplanet
HD 200964 c,852.5,1.96,0.243,,385.84562,4982.0,4.92,1.39,,,Exoplanet
HD 202206 c,,2.701,0.255,,769.46643,,,1.15,,,Exoplanet
HD 202206 c,1260.0,2.41,0.22,,5689.157,5766.0,1.04,1.07,0.3,,Exoplanet
HD 202206 c,1383.4,2.55,0.267,,776.0,,,,,,Exoplanet
HD 202696 b,517.8,1.566,0.011,,634.38868,5040.0,6.43,1.91,0.02,,Exoplanet
HD 202696 c,946.6,2.342,0.028,,592.43512,5040.0,6.43,1.91,0.02,,Exoplanet
HD 202772 A b,3.308958,0.05208,0.038,17.317905,323.23311,6272.0,2.591,1.72,0.3,2132.0,Exoplanet
HD 202772 A b,3.3088922,,,24.9862,,6188.0,2.62,,,3184.0,Exoplanet
HD 202772 A b,3.3088753,,0.04,,,6272.0,2.591,1.72,0.3,,Exoplanet
HD 203030 b,,487.1,,,7656.097,,,,,1206.0,Exoplanet
HD 203030 b,,,,14.4595851,3496.112477,,,,,1040.0,Exoplanet
HD 20329 b,0.9260632,,,1.67736,,5640.0,1.11,,,1576.0,Exoplanet
HD 20329 b,0.926118,0.018,0.0,1.72,7.42,5596.0,1.13,0.9,-0.07,2141.0,Exoplanet
HD 203387 b,512.5352,1.771,0.732,,1106.04285636,,,2.817,,,Exoplanet
HD 203387 c,2481.07227,5.067,0.202,,2378.9456264,,,2.817,,,Exoplanet
HD 2039 b,1120.0,2.23,0.715,,1941.86,,,,,,Exoplanet
HD 2039 b,1183.0,2.2,0.67,,1557.3,,,0.98,,,Exoplanet
HD 2039 b,1120.0,2.2,0.71,,1999.1507,5945.0,1.19,1.23,0.3,,Exoplanet
HD 204313 b,2041.11539,3.185,0.1,,1466.7780983,,,1.03,,,Exoplanet
HD 204313 b,1931.0,3.082,0.131,,1287.16,5767.0,,1.045,0.18,,Exoplanet
HD 204313 b,1920.09998,3.07,0.23,,1099.6918,5783.0,1.1,1.03,0.16,,Exoplanet
HD 204313 b,2050.0,3.208,0.091,,1576.42889872,5767.0,,1.045,0.18,,Exoplanet
HD 204313 b,2024.1,3.167,0.0946,,1360.0,5776.0,,1.02,0.18,,Exoplanet
HD 204313 b,1920.1,3.04,0.23,,1128.25,5760.0,,1.02,0.24,,Exoplanet
HD 204313 c,34.905,0.2099,0.155,,17.6,5776.0,,1.02,0.18,,Exoplanet
HD 204313 c,34.95875,0.211,0.059,,17.16273398,,,1.03,,,Exoplanet
HD 204313 e,27000.0,17.9,0.19,,6324.7852993,5767.0,,1.045,0.18,,Exoplanet
HD 204313 e,7325.64666,7.457,0.253,,4868.17771002,,,1.03,,,Exoplanet
HD 204941 b,1733.0,2.56,0.37,,84.5392,5056.0,0.72,0.74,-0.19,,Exoplanet
HD 204941 b,1733.0,2.55,0.37,,73.1009,5026.0,0.78,0.58,-0.19,,Exoplanet
HD 205158 b,25.33798,0.177,0.145,,124.58873554,,,1.16,,,Exoplanet
HD 205739 b,279.8,0.896,0.27,,435.41,6176.0,1.33,1.22,0.19,,Exoplanet
HD 206255 b,96.045,0.461,0.23,,34.2,5635.0,,1.42,,,Exoplanet
HD 206610 b,673.2,1.74,0.1,,647.10188,4842.0,6.12,1.55,,,Exoplanet
HD 206610 b,610.0,1.54,0.23,,813.6448,4890.0,4.92,1.93,0.16,,Exoplanet
HD 206610 b,610.0,1.68,0.229,,699.197,4874.0,6.1,1.56,0.14,,Exoplanet
HD 206893 b,9350.0,9.6,0.14,14.01122587,8899.195396,,,1.32,,1429.2,Exoplanet
HD 206893 b,10600.0,10.4,0.23,,8263.538582,6500.0,,1.31,,1500.0,Exoplanet
HD 206893 c,2090.0,3.53,0.41,16.36511182,4036.4207689,,,1.32,,1181.9,Exoplanet
HD 207496 b,6.441006,,,2.56374,,4867.0,0.8,,,853.0,Exoplanet
HD 207496 b,6.441008,0.0629,0.231,2.25,6.1,4819.0,0.769,0.8,0.095,743.0,Exoplanet
HD 20781 b,5.3135,0.0529,0.1,,1.93,5256.0,,0.7,-0.11,,Exoplanet
HD 20781 c,13.8905,0.1004,0.09,,5.33,5256.0,,0.7,-0.11,,Exoplanet
HD 20781 d,29.158,0.1647,0.11,,10.61,5256.0,,0.7,-0.11,,Exoplanet
HD 20781 e,85.5073,0.3374,0.06,,14.03,5256.0,,0.7,-0.11,,Exoplanet
HD 20782 b,585.86,1.36,0.92,,572.07,5758.0,,1.0,-0.05,,Exoplanet
HD 20782 b,597.065,1.397,0.956,,454.4969,5798.0,1.09,1.02,0.01,,Exoplanet
HD 20782 b,577.9,1.359,0.57,,232.01,5782.13,1.12681,1.04,-0.0537,,Exoplanet
HD 20782 b,591.90002,1.37,0.97,,619.7685,5790.0,1.11,1.07,-0.06,,Exoplanet
HD 20782 b,597.0643,1.3649,0.95,,472.83,5782.13,1.12681,1.04,-0.0537,,Exoplanet
HD 207832 b,160.07,0.586,0.197,,177.9848,5726.0,0.89,1.05,0.14,,Exoplanet
HD 207832 b,161.97,0.57,0.13,,177.9848,5710.0,0.901,0.94,0.06,,Exoplanet
HD 207832 b,161.97,0.57,0.13,,190.698,5761.0,0.96,1.02,0.14,,Exoplanet
HD 207832 c,1155.7,2.112,0.27,,232.0159,5710.0,0.901,0.94,0.06,,Exoplanet
HD 207897 b,16.2017137,,,2.3594,,5071.0,0.78,,,543.0,Exoplanet
HD 207897 b,16.202159,0.1163,0.047,2.501,14.4,5070.0,0.779,0.8,-0.042,632.2,Exoplanet
HD 207897 b,16.20166,0.117,0.0,2.34302132,14.8,5106.0,0.7827,0.8208,-0.03,581.75,Exoplanet
HD 20794 b,18.315,0.1207,0.0,,2.7,5401.0,,0.7,-0.4,660.0,Exoplanet
HD 20794 b,18.314,0.1257,0.064,,2.15,5368.0,0.93,0.79,-0.42,,Exoplanet
HD 20794 b,18.33,0.127,0.27,,2.82,,,0.813,,,Exoplanet
HD 20794 d,90.309,0.3499,0.0,,4.8,5401.0,,0.7,-0.4,388.0,Exoplanet
HD 20794 d,89.68,0.3625,0.077,,2.98,5368.0,0.93,0.79,-0.42,,Exoplanet
HD 20794 d,88.9,0.364,0.25,,3.52,,,0.813,,,Exoplanet
HD 20794 e,147.02,0.509,0.29,,4.77,,,0.813,,,Exoplanet
HD 20794 f,647.6,1.3541,0.45,,5.82,5368.0,0.93,0.79,-0.42,,Exoplanet
HD 208487 b,130.0,0.49,0.32,,143.02,5929.0,,0.95,0.06,,Exoplanet
HD 208487 b,130.08,0.524,0.24,,165.265,6067.0,,1.13,0.022,,Exoplanet
HD 208487 b,129.97,0.51,0.22,,152.55,,,1.05,,,Exoplanet
HD 208527 b,875.5,2.1,0.08,,3146.4,4035.0,51.1,1.6,-0.09,,Exoplanet
HD 20868 b,380.85001,0.95,0.75,,397.2875,4802.0,0.76,0.39,0.05,,Exoplanet
HD 20868 b,380.85,0.947,0.75,,632.46,4795.0,0.79,0.78,0.04,,Exoplanet
HD 208897 b,358.27,1.063,0.02,,379.48711796,4860.0,4.98,1.25,0.21,,Exoplanet
HD 208897 b,352.7,1.05,0.07,,444.962,4860.0,4.98,1.25,0.21,,Exoplanet
HD 209458 b,,,,15.91678,217.71355,5998.0,1.18,1.06,,,Exoplanet
HD 209458 b,3.52474859,0.04707,0.0081,15.233031,216.76006,6065.0,1.155,1.119,0.0,,Exoplanet
HD 209458 b,3.5,0.047,0.0,15.7,219.29,,,,,1450.0,Exoplanet
HD 209458 b,3.525,0.0467,,14.24,200.22,6000.0,1.1,1.1,,,Exoplanet
HD 209458 b,,0.049,,15.80469,235.1942,6071.0,1.2,1.26,,,Exoplanet
HD 209458 b,3.52474859,,0.0,15.58051,232.0159,6091.0,1.19,1.23,0.01,,Exoplanet
HD 209458 b,3.52,,,15.24424,219.3027,6052.0,1.18655,1.13,0.05,1450.0,Exoplanet
HD 209458 b,3.52474859,0.04747,,15.46842,226.93062,6117.0,1.162,1.148,0.02,1459.0,Exoplanet
HD 209458 b,3.52475,,,,,6052.0,1.18655,1.13,0.05,1484.0,Exoplanet
HD 209458 b,3.5247546,,,16.3776,,6052.0,1.19,,,1371.0,Exoplanet
HD 209458 b,3.5239,0.046,0.0,15.92,197.05,6025.0,1.15,1.03,,,Exoplanet
HD 209458 b,,,,15.098523,,,1.146,,,,Exoplanet
HD 209458 b,3.524746,0.04707,,15.233,217.704,6065.0,1.155,1.119,0.0,1449.0,Exoplanet
HD 209458 b,3.52476,0.04634,0.01,,211.35589065,6026.35,1.199976,1.069175,-0.0055,,Exoplanet
HD 209458 b,3.5246,0.048,0.0,,222.154,,,,,,Exoplanet
HD 209458 b,3.52474859,,,14.796,,,1.125,1.101,,,Exoplanet
HD 209458 b,,,,9.19136417,,6091.0,1.19,1.23,0.01,,Exoplanet
