pl_name,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_met,pl_eqt,pl_insol,origin,habitability_score,habitable,planet_index,total_planets,angle_deg,angle_rad,x,y
1RXS J160929.1-210524 b,,330.0,,,4000.0,4060.0,,0.85,,1700.0,,Exoplanet,0.0,No,28,43242,0.23310670181767723,0.0040684794551831185,329.9972688371296,1.342594516315043
1RXS J160929.1-210524 b,,330.0,,,3000.0,4060.0,,0.85,,1700.0,,Exoplanet,0.0,No,29,43242,0.2414319411683086,0.004213782292868231,329.9970702707351,1.3905440415636474
1RXS J160929.1-210524 b,,330.0,,,3000.0,3993.0,1.31316,0.623,,1800.0,,Exoplanet,0.0,No,30,43242,0.24975718051893991,0.004359085130553341,329.99686473714064,1.4384935374538137
24 Boo b,30.33,0.194,0.032,,280.64248338,4816.0,12.19,1.05,-0.78,,,Exoplanet,0.0,No,31,43242,0.25808241986957126,0.004504387968238453,0.1939980319207637,0.000873848310838784
24 Boo b,30.3506,0.19,0.042,,289.2253,4893.0,10.64,0.99,-0.77,,,Exoplanet,0.0,No,32,43242,0.2664076592202026,0.004649690805923565,0.18999794613936422,0.0008834380698508783
24 Sex b,452.8,1.333,0.09,,632.46,5098.0,4.9,1.54,-0.03,,,Exoplanet,0.0,No,33,43242,0.27473289857083394,0.004794993643608676,1.3329846758853268,0.006391702033900775
24 Sex c,883.0,2.08,0.29,,273.32,5098.0,4.9,1.54,-0.03,,,Exoplanet,0.0,No,34,43242,0.2830581379214652,0.004940296481293786,2.0799746172611293,0.01027577488163856
2M0437 b,,118.0,,,1271.313628,3100.0,0.84,0.17,0.01,1450.0,,Exoplanet,0.0,No,35,43242,0.29138337727209657,0.0050855993189788985,117.99847406738326,0.6000981328766544
2MASS J01033563-5515561 AB b,,84.0,,,4131.79,,,0.19,,,,Exoplanet,0.0,No,36,43242,0.2997086166227279,0.00523090215666401,83.9988507844508,0.43939377734658425
2MASS J01225093-2439505 b,,,,11.209,,3309.0,0.36645,0.353185,,1600.0,,Exoplanet,0.0,No,37,43242,0.30803385597335925,0.005376204994349121,,
2MASS J01225093-2439505 b,,52.0,,,7786.5,3530.0,,0.4,,,,Exoplanet,0.0,No,38,43242,0.31635909532399054,0.005521507832034232,51.99920733874661,0.2871169483691912
2MASS J02192210-3925225 b,,156.0,,16.14096,4417.837,3064.0,0.281,0.108,,,,Exoplanet,0.0,No,39,43242,0.32468433467462193,0.005666810669719345,155.997495212736,0.8840177330860888
2MASS J0249-0557 c,,1950.0,,,3686.8095212,,,0.046,,,,Exoplanet,0.0,No,40,43242,0.3330095740252532,0.005812113507404455,1949.9670639458795,11.333557530005159
2MASS J03590986+2009361 b,,572.0,,,5720.911326,,,,,2369.0,,Exoplanet,0.0,No,41,43242,0.34133481337588456,0.005957416345089566,571.9898496585009,3.4076219927639344
