pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_met,sy_dist
HD 111232 b,HD 111232,Radial Velocity,2003,882.0,,0.5,,2637.9757781,,,,,,28.9571
HD 111232 c,HD 111232,Radial Velocity,2022,32100.0,18.8,0.326,,6579.0480249,,5494.0,,0.83,-0.36,28.9571
HD 111232 c,HD 111232,Radial Velocity,2022,26472.44623,17.25,0.558,,5740.93451564,,,,0.96,,28.9571
HD 111591 b,HD 111591,Radial Velocity,2017,1056.4,2.5,0.26,,1398.452,,4884.0,8.03,1.94,0.07,114.166
HD 111998 b,HD 111998,Radial Velocity,2016,810.0,1.91,0.13,,1525.5763536,,,,1.4,,33.2237
HD 111998 b,HD 111998,Radial Velocity,2016,825.9,1.82,0.03,,1433.4133,,6557.0,1.45,1.18,0.07,33.2237
HD 112300 b,HD 112300,Radial Velocity,2023,466.63,1.33,0.36,,5031.22368281,,3657.0,65.8,1.4,-0.06,62.07324
HD 112570 b,HD 112570,Radial Velocity,2023,2615.0,3.9,0.2,,1086.97315194,,4750.0,9.85,1.15,-0.4,101.166
HD 112640 b,HD 112640,Radial Velocity,2020,613.2,1.7,0.24,,1589.15,,4155.0,39.0,1.8,-0.09,323.335
HD 113337 b,HD 113337,Radial Velocity,2013,324.0,0.92,0.46,,899.42,,6576.6,1.5,1.4,0.07,36.18
HD 113337 b,HD 113337,Radial Velocity,2013,317.58639,1.022,0.28,,1035.80277841,,,,1.41,,36.18
HD 113337 b,HD 113337,Radial Velocity,2013,,,,,985.273,,6774.0,1.5,,0.07,36.18
HD 113337 c,HD 113337,Radial Velocity,2020,5429.93477,6.805,0.164,,6299.67685515,,,,1.41,,36.18
HD 113337 c,HD 113337,Radial Velocity,2020,3165.0,,0.06,,4449.597698,,,,1.4,,36.18
HD 11343 c,HIP 8541,Radial Velocity,2022,228.53731,0.923,0.169,,255.53403923,,,,2.009,,155.121
HD 113538 b,HD 113538,Radial Velocity,2010,263.3,0.71,0.61,,85.81,,4685.0,0.65,0.7,-0.17,16.2817
HD 113538 b,HD 113538,Radial Velocity,2010,663.2,1.24,0.14,,114.41,,4462.0,0.53,0.585,-0.24,16.2817
HD 113538 c,HD 113538,Radial Velocity,2010,1657.0,2.43,0.32,,225.65,,4685.0,0.65,0.7,-0.17,16.2817
HD 113538 c,HD 113538,Radial Velocity,2010,1818.0,2.44,0.2,,295.57,,4462.0,0.53,0.585,-0.24,16.2817
HD 113996 b,HD 113996,Radial Velocity,2017,610.2,1.6,0.28,,2002.329,,4181.0,25.11,1.49,0.13,116.334
HD 114082 b,HD 114082,Radial Velocity,2022,109.75,0.5109,0.395,11.2089807,2542.627256,,6651.0,1.49,1.47,0.0,95.3906
HD 114386 b,HD 114386,Radial Velocity,2003,937.7,1.65,0.23,,394.09,,4804.0,,0.68,-0.08,27.9243
HD 114386 b,HD 114386,Radial Velocity,2003,937.70001,1.73,0.23,,362.3262,,4836.0,0.76,0.6,-0.05,27.9243
HD 114729 b,HD 114729,Radial Velocity,2002,1121.79,2.067,0.079,,262.20975,,5844.0,1.473,0.936,-0.33,37.8063
HD 114729 b,HD 114729,Radial Velocity,2002,1114.0,2.11,0.167,,301.93,,5821.0,,1.0,-0.262,37.8063
HD 114729 b,HD 114729,Radial Velocity,2002,1114.0,2.1,0.17,,346.4347,,5835.0,1.55,1.24,-0.28,37.8063
HD 114729 b,HD 114729,Radial Velocity,2002,1135.0,2.08,0.32,,266.97,,,,0.93,-0.22,37.8063
HD 114729 b,HD 114729,Radial Velocity,2002,1132.7,2.094,0.098,,283.50293904,,5755.82,1.650594,0.955311,-0.272,37.8063
HD 114783 b,HD 114783,Radial Velocity,2001,501.0,1.2,0.1,,317.83,,,,0.92,0.33,21.0628
HD 114783 b,HD 114783,Radial Velocity,2001,496.9,1.169,0.085,,328.6,,5084.0,0.839444,0.85,0.12,21.0628
HD 114783 b,HD 114783,Radial Velocity,2001,493.7,1.16,0.144,,349.6,,5135.0,,0.853,0.21,21.0628
HD 114783 b,HD 114783,Radial Velocity,2001,492.56,1.164,0.126,,328.31674443,,5126.74,0.840622,0.866925,0.151,21.0628
HD 114783 c,HD 114783,Radial Velocity,2018,4352.0,5.0,0.05,,603.8739733,,,,0.9,,21.0628
HD 114783 c,HD 114783,Radial Velocity,2018,4319.0,,0.0,,194.19413,,,,0.853,,21.0628
HD 114783 c,HD 114783,Radial Velocity,2018,4340.0,4.97,0.114,,209.44892021,,5126.74,0.840622,0.866925,0.151,21.0628
HD 11505 b,HD 11505,Radial Velocity,2022,32669.22247,20.247,0.144,,2510.52658689,,,,1.03,,38.9679
HD 11506 b,HD 11506,Radial Velocity,2007,1617.7,2.885,0.379,,1525.5763536,,6123.0,,1.22,0.3,51.261
HD 11506 b,HD 11506,Radial Velocity,2007,1627.5,2.708,0.37,,1338.01,,6055.0,1.33,1.24,0.29,51.261
HD 11506 b,HD 11506,Radial Velocity,2007,1613.74017,2.8,0.391,,1551.00262616,,,,1.12,,51.261
HD 11506 b,HD 11506,Radial Velocity,2007,1405.0,2.48,0.3,,1506.45,,6058.0,1.38,1.19,0.31,51.261
HD 11506 b,HD 11506,Radial Velocity,2007,1405.0,2.6,0.3,,1760.7782,,6183.0,1.24,1.51,0.34,51.261
HD 11506 b,HD 11506,Radial Velocity,2007,1622.1,2.9,0.3743,,1535.1189,,6030.0,1.34,1.24,0.34,51.261
HD 11506 b,HD 11506,Radial Velocity,2007,1270.2,2.43,0.22,,1093.29,,6030.0,1.35033,1.12,0.31,51.261
HD 11506 c,HD 11506,Radial Velocity,2008,170.455,0.639,0.42,,260.61,,6030.0,1.35033,1.12,0.31,51.261
HD 11506 c,HD 11506,Radial Velocity,2008,223.41,0.774,0.193,,129.67464,,6030.0,1.34,1.24,0.34,51.261
HD 11506 c,HD 11506,Radial Velocity,2008,223.92,0.771,0.228,,127.1313628,,6123.0,,1.22,0.3,51.261
HD 11506 c,HD 11506,Radial Velocity,2008,223.95986,0.75,0.233,,117.27868218,,,,1.12,,51.261
HD 11506 c,HD 11506,Radial Velocity,2008,223.6,0.721,0.24,,114.41,,6055.0,1.33,1.24,0.29,51.261
HD 11506 d,HD 11506,Radial Velocity,2022,26500.0,18.2,0.29,,4068.2036096,,6123.0,,1.22,0.3,51.261
HD 11506 d,HD 11506,Radial Velocity,2022,14723.57452,12.235,0.061,,2346.52712888,,,,1.12,,51.261
HD 115404 A b,HD 115404 A,Radial Velocity,2022,10.49488,0.088,0.232,,30.82935548,,,,0.83,,10.9816
HD 115404 A c,HD 115404 A,Radial Velocity,2022,15319.22517,11.364,0.211,,3279.67133183,,,,0.83,,10.9816
HD 115954 b,HD 115954,Radial Velocity,2021,3230.0,4.53,0.457,,2685.65003915,,5957.0,,1.18,0.34,87.6437
HD 115954 b,HD 115954,Radial Velocity,2021,3700.0,5.0,0.487,,2634.79749403,144.9,5957.0,1.213,1.18,0.34,87.6437
HD 116029 b,HD 116029,Radial Velocity,2011,670.0,1.65,0.0,,444.962,,4819.0,4.89,0.83,0.09,123.245
HD 116029 b,HD 116029,Radial Velocity,2011,670.0,1.78,0.054,,667.4,,4951.0,4.6,1.58,0.18,123.245
HD 116029 c,HD 116029,Radial Velocity,2018,907.0,,0.038,,403.6441,,,,1.33,,123.245
HD 117207 b,HD 117207,Radial Velocity,2004,2621.75,3.787,0.157,,612.14058,,5732.0,1.074,1.053,0.19,32.3547
HD 117207 b,HD 117207,Radial Velocity,2004,2606.0,3.773,0.04,,669.34662514,,5732.0,,1.053,0.19,32.3547
HD 117207 b,HD 117207,Radial Velocity,2004,2615.0,3.744,0.142,,594.33912109,,5634.75,1.128259,1.024232,0.2248,32.3547
HD 117207 b,HD 117207,Radial Velocity,2004,2597.0,3.79,0.144,,597.0,,5724.0,,1.08,0.266,32.3547
HD 117207 b,HD 117207,Radial Velocity,2004,2627.08,3.78,0.16,,654.7298,,5723.0,,1.04,0.27,32.3547
HD 117207 b,HD 117207,Radial Velocity,2004,2628.0,,0.15,,603.877,,,,1.031,,32.3547
HD 117207 b,HD 117207,Radial Velocity,2004,2597.0,3.74,0.14,,549.8459,,5662.0,1.11,0.96,0.24,32.3547
HD 11755 b,HD 11755,Radial Velocity,2015,433.70001,1.09,0.19,,1789.3829,,4312.0,20.58,0.72,-0.74,235.045
HD 11755 b,HD 11755,Radial Velocity,2015,433.7,1.08,0.19,,2065.895,,4312.5,27.3,0.9,-0.74,235.045
HD 117618 b,HD 117618,Radial Velocity,2004,25.827,0.17,0.42,,60.3877,,5977.0,1.2,1.17,0.01,37.7781
HD 117618 b,HD 117618,Radial Velocity,2004,25.827,0.176,0.42,,56.6,,5995.71,1.18438,1.1,0.0283,37.7781
HD 117618 b,HD 117618,Radial Velocity,2004,25.8,0.18,0.15,,55.30242,,5990.0,,1.077,,37.7781
HD 117618 b,HD 117618,Radial Velocity,2004,25.8,0.17,0.37,,50.8528,,5855.0,,1.05,0.03,37.7781
HD 118203 b,HD 118203,Radial Velocity,2005,6.1349847,0.08635,0.316,12.06086323,725.28442477,1360.0,5872.0,1.993,1.353,0.27,92.2589
HD 118203 b,HD 118203,Radial Velocity,2005,6.1335,0.07,0.309,,677.0,,5600.0,,1.23,0.1,92.2589
HD 118203 b,HD 118203,Radial Velocity,2005,6.134989,0.0701,0.301,12.55405838,693.50158407,1371.0,5788.0,2.03,1.22,0.22,92.2589
HD 118203 b,HD 118203,Radial Velocity,2005,6.1349783,,,13.1383,,1509.0,5828.7,2.05,,,92.2589
HD 118203 b,HD 118203,Radial Velocity,2005,6.1349779,0.0713,0.3136,12.778238,680.15279098,1361.0,5742.0,2.04,1.27,0.287,92.2589
HD 118203 b,HD 118203,Radial Velocity,2005,6.1335,0.07,0.31,,886.7457,,5864.0,2.06,1.84,0.23,92.2589
HD 118203 b,HD 118203,Radial Velocity,2005,6.13499,,0.314,12.778238,689.68764319,,5683.0,2.1,1.13,0.223,92.2589
HD 118203 b,HD 118203,Radial Velocity,2005,6.134985,0.07071,0.314,12.73340208,688.41632956,1494.0,5683.0,2.102,1.251,0.223,92.2589
HD 118203 c,HD 118203,Radial Velocity,2024,5103.0,6.28,0.26,,3747.19691853,,5742.0,2.04,1.27,0.287,92.2589
HD 118203 c,HD 118203,Radial Velocity,2024,5070.0,6.2,0.257,,3527.8953177,146.0,5788.0,2.03,1.22,0.22,92.2589
HD 11964 b,HD 11964,Radial Velocity,2005,1956.0,,0.073,,185.29489,,,,1.08,,33.5369
HD 11964 b,HD 11964,Radial Velocity,2005,1945.0,3.16,0.041,,198.0,,5303.0,2.00971,0.91,0.1,33.5369
HD 11964 b,HD 11964,Radial Velocity,2005,1935.0,3.185,0.101,,200.54972482,,5345.6,2.0475,1.151343,0.1376,33.5369
HD 11964 b,HD 11964,Radial Velocity,2005,2110.0,3.34,0.06,,193.9,,5349.0,,1.12,0.122,33.5369
HD 11964 c,HD 11964,Radial Velocity,2008,37.91,0.229,0.3,,25.0,,5303.0,2.00971,0.91,0.1,33.5369
HD 11964 c,HD 11964,Radial Velocity,2008,37.9196,0.2315,0.106,,24.34565598,,5345.6,2.0475,1.151343,0.1376,33.5369
HD 11977 b,HD 11977,Radial Velocity,2005,,1.89,,,1999.1,,,,1.8,,67.9331
HD 11977 b,HD 11977,Radial Velocity,2005,711.0,1.93,0.4,,2080.0,,4970.0,10.09,1.91,-0.21,67.9331
HD 11977 b,HD 11977,Radial Velocity,2005,621.6,1.89,0.3,,2065.895,,,,2.31,-0.16,67.9331
HD 120084 b,HD 120084,Radial Velocity,2013,2082.0,4.3,0.66,,1430.2,,4892.0,9.12,2.39,0.09,103.044
HD 120084 b,HD 120084,Radial Velocity,2013,2084.0,4.12,0.7,,2415.4958932,,4892.0,,2.15,0.09,103.044
HD 120084 b,HD 120084,Radial Velocity,2013,,4.513,,,1373.9,,4892.0,11.03,2.661,,103.044
HD 120084 b,HD 120084,Radial Velocity,2013,2085.10024,4.341,0.732,,1831.32728113,,,,2.504,,103.044
HD 120084 b,HD 120084,Radial Velocity,2013,2142.0,4.21,0.483,,2034.1018048,,4879.0,10.37,2.16,0.1,103.044
HD 121504 b,HD 121504,Radial Velocity,2003,63.33,0.33,0.03,,388.0,,6075.0,,1.18,0.16,41.6592
HD 121504 b,HD 121504,Radial Velocity,2003,63.33,0.33,0.03,,479.9233,,6027.0,1.07,1.62,0.15,41.6592
HD 12235 b,HD 12235,Radial Velocity,2022,4.36305,0.054,0.376,,10.48833743,,,,1.1,,31.7627
HD 12235 c,HD 12235,Radial Velocity,2022,36336.70679,22.21,0.174,,3135.69506346,,,,1.1,,31.7627
HD 122562 c,HD 122562,Radial Velocity,2022,84.96276,0.406,0.228,,73.10053361,,,,1.241,,53.2528
HD 124330 b,HD 124330,Radial Velocity,2021,270.66,0.86,0.34,,238.37130525,,5873.0,,1.15,0.22,60.1977
HD 12484 b,HD 12484,Radial Velocity,2016,58.83,0.297,0.07,,947.1334,,5920.0,,1.01,0.05,48.3367
HD 125271 b,HD 125271,Radial Velocity,2022,14901.99295,10.817,0.165,,3465.60094993,,,,0.75,,39.3466
HD 125390 b,HD 125390,Radial Velocity,2019,1757.39151,3.496,0.597,,8646.20398403,,,,1.82,,153.647
HD 125390 b,HD 125390,Radial Velocity,2019,1758.0,3.184,0.598,,10806.165838,,4882.0,,1.6,-0.11,153.647
HD 125390 b,HD 125390,Radial Velocity,2019,1756.2,3.16,0.591,,7043.1128,,4850.0,6.47,1.36,,153.647
HD 125595 b,HD 125595,Radial Velocity,2009,9.6737,0.0809,0.0,,13.134,,4908.0,,0.756,0.02,28.1989
HD 125595 b,HD 125595,Radial Velocity,2009,9.6737,0.08,0.0,,6.3566,,4691.0,0.74,0.29,0.08,28.1989
HD 125612 b,HD 125612,Radial Velocity,2007,557.69994,1.349,0.446,,945.22168242,,,,1.05,,57.6207
HD 125612 b,HD 125612,Radial Velocity,2007,559.40485,1.37,0.46,,1026.5909,,5931.0,1.07,1.19,0.24,57.6207
HD 125612 b,HD 125612,Radial Velocity,2007,557.04,1.372,0.4553,,985.273,,5841.0,1.05,1.11,0.22,57.6207
HD 125612 b,HD 125612,Radial Velocity,2007,559.4,1.37,0.46,,968.0,,5900.0,,1.091,0.23,57.6207
HD 125612 b,HD 125612,Radial Velocity,2007,510.0,1.2,0.38,,1112.405,,5897.0,1.05,1.1,0.24,57.6207
HD 125612 c,HD 125612,Radial Velocity,2009,4.15514,0.0524,0.049,,17.48065,,5841.0,1.05,1.11,0.22,57.6207
HD 125612 c,HD 125612,Radial Velocity,2009,4.15466,0.051,0.149,,15.57359194,,,,1.05,,57.6207
HD 125612 c,HD 125612,Radial Velocity,2009,4.1547,0.05,0.27,,18.0,,5900.0,,1.091,0.23,57.6207
HD 125612 d,HD 125612,Radial Velocity,2009,2835.0,4.06,0.1172,,2313.8024,,5841.0,1.05,1.11,0.22,57.6207
HD 125612 d,HD 125612,Radial Velocity,2009,2822.72698,3.982,0.115,,2281.37230545,,,,1.05,,57.6207
HD 125612 d,HD 125612,Radial Velocity,2009,3008.0,4.2,0.28,,2286.0,,5900.0,,1.091,0.23,57.6207
HD 12648 b,HD 12648,Radial Velocity,2015,133.6,0.54,0.04,,921.707,,4835.8,9.2,1.2,-0.57,182.192
HD 12648 b,HD 12648,Radial Velocity,2015,133.60001,0.54,0.04,,622.9468,,4835.0,11.02,0.67,-0.57,182.192
HD 126525 b,HD 126525,Radial Velocity,2018,960.41,1.837,0.035,,75.32571,,5638.0,0.979,0.897,-0.1,37.6506
HD 12661 b,HD 12661,Radial Velocity,2000,252.7,0.79,0.23,,886.7457,,5754.0,1.096,1.07,0.29,37.8478
HD 12661 b,HD 12661,Radial Velocity,2000,262.709,0.831,0.3768,,731.0,,5655.0,1.21377,1.0,0.3,37.8478
HD 12661 b,HD 12661,Radial Velocity,2000,262.709,0.8079,0.3768,,691.569,,5748.0,1.11,1.02,0.36,37.8478
HD 12661 b,HD 12661,Radial Velocity,2000,262.53,0.831,0.361,,743.7,,5655.0,1.21377,1.0,0.3,37.8478
HD 12661 b,HD 12661,Radial Velocity,2000,262.36,0.824,0.3597,,725.60225318,,5661.18,1.198172,1.084826,0.3383,37.8478
HD 12661 b,HD 12661,Radial Velocity,2000,262.70862,0.84,0.38,,772.3269,,5645.0,1.2,1.2,0.36,37.8478
HD 12661 c,HD 12661,Radial Velocity,2002,1708.0,2.9,0.031,,610.0,,5655.0,1.21377,1.0,0.3,37.8478
HD 12661 c,HD 12661,Radial Velocity,2002,1696.7,2.861,0.025,,589.57169499,,5661.18,1.198172,1.084826,0.3383,37.8478
HD 12661 c,HD 12661,Radial Velocity,2002,1708.0,2.8145,0.031,,575.884,,5748.0,1.11,1.02,0.36,37.8478
HD 12661 c,HD 12661,Radial Velocity,2002,1679.0,2.86,0.017,,581.6,,5655.0,1.21377,1.0,0.3,37.8478
HD 126614 b,HD 126614,Radial Velocity,2009,1253.5,2.291,0.577,,113.14691289,,5409.83,1.369794,1.021245,0.4083,73.0961
HD 126614 b,HD 126614,Radial Velocity,2009,1244.0,2.37,0.41,,130.3103,,5568.0,1.32,1.26,0.54,73.0961
HD 126614 b,HD 126614,Radial Velocity,2009,1257.25303,2.249,0.548,,107.74382997,,,,0.96,,73.0961
HD 126614 b,HD 126614,Radial Velocity,2009,1244.0,2.35,0.41,,120.0,,5585.0,1.09,1.145,0.56,73.0961
HD 127506 b,HD 127506,Radial Velocity,2022,65.78395,0.287,0.24,,27.333243,,,,0.73,,22.5279
HD 128311 b,HD 128311,Radial Velocity,2002,422.0,1.02,0.31,,816.79,,,,0.8,0.08,16.3292
HD 128311 b,HD 128311,Radial Velocity,2002,453.019,1.084,0.303,,562.24127,,,0.76,0.828,,16.3292
HD 128311 b,HD 128311,Radial Velocity,2002,454.2,1.086,0.345,,460.83,,4965.0,,0.828,0.08,16.3292
HD 128311 b,HD 128311,Radial Velocity,2002,453.28,1.088,0.283,,635.656814,,4931.94,0.783313,0.837059,0.1338,16.3292
HD 128311 b,HD 128311,Radial Velocity,2002,458.6,1.099,0.25,,692.84,,,,0.84,0.0,16.3292
HD 128311 b,HD 128311,Radial Velocity,2002,460.1,,0.3,,581.6,,,,0.828,,16.3292
HD 128311 c,HD 128311,Radial Velocity,2005,923.8,1.745,0.23,,1029.73,,4965.0,,0.828,0.08,16.3292
HD 128311 c,HD 128311,Radial Velocity,2005,910.7,,0.12,,1017.01,,,,0.828,,16.3292
HD 128311 c,HD 128311,Radial Velocity,2005,917.5,1.742,0.196,,1032.94232275,,4931.94,0.783313,0.837059,0.1338,16.3292
HD 128311 c,HD 128311,Radial Velocity,2005,921.538,1.74,0.159,,1204.25787,,,0.76,0.828,,16.3292
HD 128311 c,HD 128311,Radial Velocity,2005,928.3,1.76,0.17,,1020.19,,,,0.84,0.0,16.3292
HD 128356 b,HD 128356,Radial Velocity,2016,298.2,0.87,0.57,,282.8687,,4875.0,0.85,0.65,0.17,26.1548
HD 129445 b,HD 129445,Radial Velocity,2009,1840.0,2.9,0.7,,508.507,,,,0.99,0.25,67.4386
HD 129445 b,HD 129445,Radial Velocity,2009,1802.0,2.984,0.572,,797.74930157,,5646.0,,1.09,0.37,67.4386
HD 130322 b,HD 130322,Radial Velocity,1999,10.72,0.088,0.044,,324.1866,720.0,5330.0,,0.79,-0.02,31.8766
HD 130322 b,HD 130322,Radial Velocity,1999,10.70871,0.0925,0.029,,365.49,,5387.0,0.85,0.92,,31.8766
HD 130322 b,HD 130322,Radial Velocity,1999,10.721,0.09,0.063,,346.43296363,,,,0.85,,31.8766
HD 130322 b,HD 130322,Radial Velocity,1999,10.7085,0.0896,0.011,,330.53,,5308.0,,0.836,-0.02,31.8766
HD 130322 b,HD 130322,Radial Velocity,1999,10.70867,0.0929,0.015,,365.18483964,,5400.49,0.872418,0.932783,0.0863,31.8766
HD 131496 b,HD 131496,Radial Velocity,2011,883.0,2.11,0.16,,711.9392,,4886.0,5.54,1.62,0.12,131.849
HD 131496 b,HD 131496,Radial Velocity,2011,896.0,2.01,0.181,,572.094,,4846.0,4.44,1.34,,131.849
HD 131496 b,HD 131496,Radial Velocity,2011,883.0,2.09,0.163,,699.2,,4927.0,4.3,1.61,0.25,131.849
HD 13167 b,HD 13167,Radial Velocity,2018,2613.0,4.1,0.563,,1052.0173,,5671.0,2.39,1.35,,148.934
HD 13189 b,HD 13189,Radial Velocity,2005,471.60001,1.25,0.27,,3480.2385,,4175.0,38.41,2.24,-0.37,497.823
HD 13189 b,HD 13189,Radial Velocity,2005,471.6,1.85,0.27,,4400.0,,4184.4,41.9843,,-0.3718,497.823
HD 132406 b,HD 132406,Radial Velocity,2007,974.0,1.98,0.34,,1782.951,,5759.29,1.35486,1.03,0.1293,70.7832
HD 132406 b,HD 132406,Radial Velocity,2007,908.0,,0.25,,1887.90073758,,,,0.973,,70.7832
HD 132406 b,HD 132406,Radial Velocity,2007,964.0,1.969,0.303,,1970.5361234,,5766.0,,1.09,0.14,70.7832
HD 132406 b,HD 132406,Radial Velocity,2007,893.0,,0.31,,2129.4503269,,,,,,70.7832
HD 132406 b,HD 132406,Radial Velocity,2007,974.0,1.98,0.34,,1709.9254,,5783.0,1.34,1.03,0.14,70.7832
HD 132563 b,HD 132563,Radial Velocity,2011,1544.0,2.62,0.22,,473.547,,6289.0,1.29577,1.231,,105.155
HD 133131 A b,HD 133131 A,Radial Velocity,2016,649.0,1.44,0.33,,451.3186,,5799.0,,0.95,-0.306,51.4736
HD 133131 A c,HD 133131 A,Radial Velocity,2016,3568.0,4.49,0.49,,133.4886,,5799.0,,0.95,-0.306,51.4736
HD 133131 B b,HD 133131 B,Radial Velocity,2016,5769.0,6.15,0.61,,794.575,,5805.0,,0.93,-0.281,51.2993
HD 134060 b,HD 134060,Radial Velocity,2019,3.2696,0.0444,0.45,,10.1,,5966.0,,1.095,0.14,24.0125
HD 134060 c,HD 134060,Radial Velocity,2019,1291.5646,2.3928,0.11,,29.29,,5966.0,,1.095,0.14,24.0125
HD 134606 b,HD 134606,Radial Velocity,2024,12.089,0.1046,0.092,,9.09,,5576.0,1.158,1.046,0.343,26.7909
HD 134606 c,HD 134606,Radial Velocity,2024,58.883,0.3007,0.055,,11.31,,5576.0,1.158,1.046,0.343,26.7909
HD 134606 d,HD 134606,Radial Velocity,2024,966.5,1.941,0.092,,44.8,,5576.0,1.158,1.046,0.343,26.7909
HD 134606 e,HD 134606,Radial Velocity,2024,4.3203,0.0527,0.2,,2.34,,5576.0,1.158,1.046,0.343,26.7909
HD 134606 f,HD 134606,Radial Velocity,2024,26.915,0.1784,0.081,,5.63,,5576.0,1.158,1.046,0.343,26.7909
HD 134987 b,HD 134987,Radial Velocity,1999,258.17999,0.81,0.23,,511.7063,,5736.0,1.22,1.1,0.28,26.1804
HD 134987 b,HD 134987,Radial Velocity,1999,258.251,0.818,0.2281,,516.15333297,,5700.78,1.292303,1.092644,0.2822,26.1804
HD 134987 b,HD 134987,Radial Velocity,1999,264.6,0.82,0.37,,518.0629,,,,1.05,,26.1804
HD 134987 b,HD 134987,Radial Velocity,1999,258.19,0.81,0.233,,505.0,,5585.0,1.25,1.1,0.28,26.1804
HD 134987 b,HD 134987,Radial Velocity,1999,258.31,0.82,0.243,,514.9,,5750.0,,1.1,0.279,26.1804
HD 134987 c,HD 134987,Radial Velocity,2009,5000.0,5.8,0.12,,260.0,,5585.0,1.25,1.1,0.28,26.1804
HD 134987 c,HD 134987,Radial Velocity,2009,5960.0,6.62,0.154,,297.16956055,,5700.78,1.292303,1.092644,0.2822,26.1804
HD 135625 b,HD 135625,Radial Velocity,2023,4055.0,5.4,0.16,,731.0053361,,,,1.28,,56.518
HD 135694 b,HD 135694,Transit,2023,15.9234883,,,2.18203,,735.0,5711.85,1.08,,,73.8713
HD 135694 b,HD 135694,Transit,2023,15.92346,0.12,0.42,2.51,5.7,815.0,5710.0,1.05,0.9,-0.21,73.8713
HD 135694 b,HD 135694,Transit,2023,15.923475568,0.124695,,2.857,,,5712.0,1.08,1.02,,73.8713
HD 135694 b,HD 135694,Transit,2023,15.92346,0.12,0.0,2.5320132,6.1,750.83,5698.0,1.0726,0.913,-0.121,73.8713
HD 135872 b,HD 135872,Radial Velocity,2022,2422.32597,4.172,0.164,,1744.56012602,,,,1.646,,82.4251
HD 136118 b,HD 136118,Radial Velocity,2022,1187.59765,2.327,0.344,,4164.18778851,,,,1.18,,51.4359
HD 136118 b,HD 136118,Radial Velocity,2022,1191.0,2.353,0.35,,5244.1687155,,6097.0,,1.21,-0.05,51.4359
HD 136352 b,HD 136352,Radial Velocity,2019,11.5824,0.0934,0.14,,4.81,,5664.0,,0.81,-0.34,14.682
HD 136352 b,HD 136352,Radial Velocity,2019,11.57797,0.0964,0.0,1.664,4.72,905.0,5664.0,1.058,0.87,-0.24,14.682
HD 136352 b,HD 136352,Radial Velocity,2019,11.57783620835,,,1.54221286,,806.33,5739.0,1.02607,,,14.682
HD 136352 b,HD 136352,Radial Velocity,2019,11.57779,0.0969,0.079,1.482,4.62,911.0,5850.0,1.012,0.906,-0.25,14.682
HD 136352 c,HD 136352,Radial Velocity,2019,27.59207175355,,,2.70502784,,603.66,5739.0,1.02607,,,14.682
HD 136352 c,HD 136352,Radial Velocity,2019,27.59221,0.1721,0.0,2.916,11.24,677.0,5664.0,1.058,0.87,-0.24,14.682
HD 136352 c,HD 136352,Radial Velocity,2019,27.5821,0.1666,0.04,,10.8,,5664.0,,0.81,-0.34,14.682
HD 136352 c,HD 136352,Radial Velocity,2019,27.5909,0.1729,0.037,2.608,11.29,682.0,5850.0,1.012,0.906,-0.25,14.682
HD 136352 d,HD 136352,Radial Velocity,2019,107.245,0.425,0.0,2.562,8.82,431.0,5664.0,1.058,0.87,-0.24,14.682
HD 136352 d,HD 136352,Radial Velocity,2019,107.5983,0.4128,0.09,,8.58,,5664.0,,0.81,-0.34,14.682
HD 136352 d,HD 136352,Radial Velocity,2019,107.63,0.4285,0.075,,10.5,433.3,5850.0,1.012,0.906,-0.25,14.682
HD 136352 d,HD 136352,Radial Velocity,2019,,,,1.62083261,,1091.64,5739.0,1.02607,,,14.682
HD 136418 b,HD 136418,Radial Velocity,2009,464.29999,1.29,0.25,,680.1562,,4989.0,3.78,1.48,-0.11,105.168
HD 136418 b,HD 136418,Radial Velocity,2009,464.3,1.32,0.255,,635.633,,5071.0,3.4,1.33,-0.07,105.168
HD 136925 b,HD 136925,Radial Velocity,2021,4540.0,5.13,0.103,,266.97586188,,5773.19,1.193078,0.875104,-0.2172,47.874
HD 13724 c,HD 13724,Radial Velocity,2022,142.22895,0.534,0.651,,50.85254512,,,,1.004,,43.465
HD 137388 b,HD 137388,Radial Velocity,2011,330.0,0.89,0.36,,70.8731,,5240.0,0.82,0.86,0.18,40.4841
HD 137388 b,HD 137388,Radial Velocity,2011,330.0,0.89,0.36,,63.566,,5181.0,0.88,0.68,0.19,40.4841
HD 137496 b,HD 137496,Transit,2021,1.62116,0.02732,0.0,1.31,4.04,2130.0,5799.0,1.59,1.04,-0.03,155.317
HD 137496 c,HD 137496,Radial Velocity,2021,479.9,1.2163,0.477,,2434.56559762,370.0,5799.0,1.59,1.04,-0.03,155.317
HD 13808 b,HD 13808,Radial Velocity,2021,14.1815,0.10519,0.071,,11.2,,5035.0,0.781,0.771,-0.21,28.2305
HD 13808 c,HD 13808,Radial Velocity,2021,53.753,0.2554,0.156,,9.96,,5035.0,0.781,0.771,-0.21,28.2305
HD 13908 b,HD 13908,Radial Velocity,2013,19.382,0.154,0.02,,274.91,,6255.0,1.67,1.29,0.01,79.5515
