pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_met,sy_dist
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024,,7493.0,,,3813.940884,1616.0,,,,,34.1154
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,,230.0,,,3972.875,,4045.0,,0.6,,69.5737
30 Ari B b,30 Ari B,Radial Velocity,2009,335.10001,0.99,0.29,,4392.4106,,6331.0,1.41,1.93,0.19,44.657
30 Ari B b,30 Ari B,Radial Velocity,2009,335.1,0.995,0.289,,3140.03,,6300.0,1.13,1.16,0.245,44.657
30 Ari B b,30 Ari B,Radial Velocity,2009,345.4,1.01,0.18,,2097.678,,,1.13,1.16,,44.657
4 UMa b,4 UMa,Radial Velocity,2006,270.27,0.877,0.453,,2511.48007211,,4415.0,18.11,1.234,-0.25,73.4603
4 UMa b,4 UMa,Radial Velocity,2006,269.3,0.87,0.432,,2256.5,,4415.0,18.11,1.234,-0.25,73.4603
47 UMa b,47 UMa,Radial Velocity,1996,1078.0,2.1,0.032,,804.08,,5872.0,1.21334,1.06,0.04,13.7967
47 UMa b,47 UMa,Radial Velocity,1996,1083.2,2.11,0.049,,826.32,,,,,,13.7967
47 UMa b,47 UMa,Radial Velocity,1996,1076.6,2.1,0.012,,778.6835,,5882.0,,1.063,0.04,13.7967
47 UMa b,47 UMa,Radial Velocity,1996,1100.8,2.11,0.097,,877.17,,,,,,13.7967
47 UMa b,47 UMa,Radial Velocity,1996,1076.6,2.059,0.016,,774.86565627,,5829.16,1.136537,1.005192,0.0256,13.7967
47 UMa c,47 UMa,Radial Velocity,2001,2391.0,3.6,0.098,,171.621,,5872.0,1.21334,1.06,0.04,13.7967
47 UMa c,47 UMa,Radial Velocity,2001,7586.0,7.73,0.005,,425.87,,,,,,13.7967
47 UMa c,47 UMa,Radial Velocity,2001,2287.0,3.404,0.179,,157.96071828,,5829.16,1.136537,1.005192,0.0256,13.7967
47 UMa d,47 UMa,Radial Velocity,2009,14002.0,11.6,0.16,,521.22,,5872.0,1.21334,1.06,0.04,13.7967
47 UMa d,47 UMa,Radial Velocity,2009,19000.0,13.8,0.38,,479.92089457,,5829.16,1.136537,1.005192,0.0256,13.7967
51 Eri b,51 Eri,Imaging,2015,,13.2,,,635.66,700.0,,,1.75,-0.027,29.7575
51 Eri b,51 Eri,Imaging,2015,11688.0,12.0,0.45,,,,7295.0,1.48726,1.65,,29.7575
51 Eri b,51 Eri,Imaging,2015,14965.0,14.0,0.21,,,,7295.0,1.48726,1.65,,29.7575
51 Peg b,51 Peg,Radial Velocity,1995,4.231,0.052,0.0,,146.2018,,,,1.04,,15.4614
51 Peg b,51 Peg,Radial Velocity,1995,4.230785,0.0527,0.013,,150.009,,5758.0,1.17561,1.03,0.18,15.4614
51 Peg b,51 Peg,Radial Velocity,1995,4.23077,0.052,0.0,,148.738,,,,,,15.4614
51 Peg b,51 Peg,Radial Velocity,1995,4.2293,,0.0,,149.3801,,5773.0,1.29,,0.2,15.4614
51 Peg b,51 Peg,Radial Velocity,1995,4.2307969,0.05235,0.0042,,147.47238085,,5760.76,1.186744,1.069296,0.2058,15.4614
55 Cnc b,55 Cnc,Radial Velocity,1996,14.647,0.115,0.03,,289.21,,,,,,12.5855
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65162,0.115,0.014,,261.881,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc b,55 Cnc,Radial Velocity,1996,14.651,0.1134,0.004,,254.25,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc b,55 Cnc,Radial Velocity,1996,14.6516,0.1134,0.0,,255.4,,5172.0,0.943,0.905,0.35,12.5855
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65126,0.1138,0.0159,,260.61,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65152,0.11522725,0.0034,,263.9785,,,,0.95,,12.5855
55 Cnc b,55 Cnc,Radial Velocity,1996,14.465314,0.11339,0.0023,,266.966,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65171,0.1162,0.0048,,267.29369029,,5317.89,0.964411,0.974708,0.3833,12.5855
55 Cnc b,55 Cnc,Radial Velocity,1996,14.648,0.11,0.051,,266.9772,,5200.0,,0.85,0.23,12.5855
55 Cnc b,55 Cnc,Radial Velocity,1996,14.67,0.115,0.0197,,249.17872,,,,0.95,,12.5855
